Arquivo,Deputado,Autor,Assunto,Data_Criacao,Data_Moficacao 
EMC 337-2017 PL678716 =- PL 6787-2016.pdf,Valdir Colatto,Ricardo de Saboya Rocha Miranda,,D:20170317084523-07'00',D:20170317084523-07'00'
EMC 338-2017 PL678716 =- PL 6787-2016.pdf,Valdir Colatto,Ricardo de Saboya Rocha Miranda,,D:20170317084531-07'00',D:20170317084531-07'00'
EMC 339-2017 PL678716 =- PL 6787-2016.pdf,Valdir Colatto,Ricardo de Saboya Rocha Miranda,,D:20170317084547-07'00',D:20170317084547-07'00'
EMC 340-2017 PL678716 =- PL 6787-2016.pdf,Valdir Colatto,Ricardo de Saboya Rocha Miranda,,D:20170317084655-07'00',D:20170317084655-07'00'
EMC 341-2017 PL678716 =- PL 6787-2016.pdf,Valdir Colatto,MOD.CONLE.ST 2241/2017 - P_5771 - Lisiane de Alcantara Bastos,EMD ADI - Emenda Aditiva,D:20170317084756-07'00',D:20170317084756-07'00'
EMC 342-2017 PL678716 =- PL 6787-2016.pdf,Sergio Vidigal,MOD.CONLE.ST 2868/2017 - P_8057 - Tania Marcia Oliveira de Andrade,EMD ADI - Emenda Aditiva,D:20170320112522-07'00',D:20170320112522-07'00'
EMC 343-2017 PL678716 =- PL 6787-2016.pdf,Célio Silveira,P_4189,,D:20170317110451-07'00',D:20170317110451-07'00'
EMC 344-2017 PL678716 =- PL 6787-2016.pdf,Célio Silveira,P_4189,,D:20170317110500-07'00',D:20170317110500-07'00'
EMC 345-2017 PL678716 =- PL 6787-2016.pdf,Célio Silveira,P_4189,,D:20170317110556-07'00',D:20170317110556-07'00'
EMC 346-2017 PL678716 =- PL 6787-2016.pdf,Célio Silveira,P_4189,,D:20170317110604-07'00',D:20170317110604-07'00'
EMC 347-2017 PL678716 =- PL 6787-2016.pdf,Célio Silveira,P_4189,,D:20170317110700-07'00',D:20170317110700-07'00'
EMC 348-2017 PL678716 =- PL 6787-2016.pdf,Célio Silveira,P_4189,,D:20170317110803-07'00',D:20170317110803-07'00'
EMC 349-2017 PL678716 =- PL 6787-2016.pdf,Célio Silveira,P_4189,,D:20170317110811-07'00',D:20170317110811-07'00'
EMC 350-2017 PL678716 =- PL 6787-2016.pdf,Célio Silveira,P_4189,,D:20170317110912-07'00',D:20170317110912-07'00'
EMC 351-2017 PL678716 =- PL 6787-2016.pdf,Célio Silveira,P_4189,,D:20170317110921-07'00',D:20170317110921-07'00'
EMC 352-2017 PL678716 =- PL 6787-2016.pdf,Célio Silveira,Gildete Menezes | NTC,,D:20170317111411-07'00',D:20170317111411-07'00'
EMC 353-2017 PL678716 =- PL 6787-2016.pdf,Goulart,Izar,,D:20170317111419-07'00',D:20170317111419-07'00'
EMC 354-2017 PL678716 =- PL 6787-2016.pdf,Goulart,Izar,,D:20170317111428-07'00',D:20170317111428-07'00'
EMC 355-2017 PL678716 =- PL 6787-2016.pdf,Goulart,Izar,,D:20170317111436-07'00',D:20170317111436-07'00'
EMC 356-2017 PL678716 =- PL 6787-2016.pdf,Major Olimpio,Ricardo de Saboya Rocha Miranda,,D:20170317122931-07'00',D:20170317122931-07'00'
EMC 357-2017 PL678716 =- PL 6787-2016.pdf,Major Olimpio,Ricardo de Saboya Rocha Miranda,,D:20170317123428-07'00',D:20170317123428-07'00'
EMC 358-2017 PL678716 =- PL 6787-2016.pdf,Major Olimpio,Ricardo de Saboya Rocha Miranda,,D:20170317123437-07'00',D:20170317123437-07'00'
EMC 359-2017 PL678716 =- PL 6787-2016.pdf,Major Olimpio,Ricardo de Saboya Rocha Miranda,,D:20170317123445-07'00',D:20170317123445-07'00'
EMC 360-2017 PL678716 =- PL 6787-2016.pdf,Major Olimpio,Ricardo de Saboya Rocha Miranda,,D:20170317123453-07'00',D:20170317123453-07'00'
EMC 361-2017 PL678716 =- PL 6787-2016.pdf,Major Olimpio,Ricardo de Saboya Rocha Miranda,,D:20170317123501-07'00',D:20170317123501-07'00'
EMC 362-2017 PL678716 =- PL 6787-2016.pdf,Major Olimpio,Ricardo de Saboya Rocha Miranda,,D:20170317123510-07'00',D:20170317123510-07'00'
EMC 363-2017 PL678716 =- PL 6787-2016.pdf,Major Olimpio,Ricardo de Saboya Rocha Miranda,,D:20170317123551-07'00',D:20170317123551-07'00'
EMC 364-2017 PL678716 =- PL 6787-2016.pdf,Major Olimpio,Ricardo de Saboya Rocha Miranda,,D:20170317123600-07'00',D:20170317123600-07'00'
EMC 365-2017 PL678716 =- PL 6787-2016.pdf,Major Olimpio,Ricardo de Saboya Rocha Miranda,,D:20170317123608-07'00',D:20170317123608-07'00'
EMC 366-2017 PL678716 =- PL 6787-2016.pdf,Major Olimpio,Ricardo de Saboya Rocha Miranda,,D:20170317123616-07'00',D:20170317123616-07'00'
EMC 367-2017 PL678716 =- PL 6787-2016.pdf,Major Olimpio,Ricardo de Saboya Rocha Miranda,,D:20170317123709-07'00',D:20170317123709-07'00'
EMC 368-2017 PL678716 =- PL 6787-2016.pdf,Major Olimpio,Ricardo de Saboya Rocha Miranda,,D:20170317123718-07'00',D:20170317123718-07'00'
EMC 369-2017 PL678716 =- PL 6787-2016.pdf,Major Olimpio,Ricardo de Saboya Rocha Miranda,,D:20170317123811-07'00',D:20170317123811-07'00'
EMC 370-2017 PL678716 =- PL 6787-2016.pdf,Major Olimpio,Ricardo de Saboya Rocha Miranda,,D:20170317123819-07'00',D:20170317123819-07'00'
EMC 371-2017 PL678716 =- PL 6787-2016.pdf,Major Olimpio,Ricardo de Saboya Rocha Miranda,,D:20170317123827-07'00',D:20170317123827-07'00'
EMC 372-2017 PL678716 =- PL 6787-2016.pdf,Major Olimpio,Ricardo de Saboya Rocha Miranda,,D:20170317123921-07'00',D:20170317123921-07'00'
EMC 373-2017 PL678716 =- PL 6787-2016.pdf,Major Olimpio,Ricardo de Saboya Rocha Miranda,,D:20170317123930-07'00',D:20170317123930-07'00'
EMC 374-2017 PL678716 =- PL 6787-2016.pdf,Major Olimpio,Ricardo de Saboya Rocha Miranda,,D:20170317123938-07'00',D:20170317123938-07'00'
EMC 375-2017 PL678716 =- PL 6787-2016.pdf,Major Olimpio,Ricardo de Saboya Rocha Miranda,,D:20170317123947-07'00',D:20170317123947-07'00'
EMC 376-2017 PL678716 =- PL 6787-2016.pdf,Major Olimpio,Ricardo de Saboya Rocha Miranda,,D:20170317124643-07'00',D:20170317124643-07'00'
EMC 377-2017 PL678716 =- PL 6787-2016.pdf,Major Olimpio,Ricardo de Saboya Rocha Miranda,,D:20170317124651-07'00',D:20170317124651-07'00'
EMC 378-2017 PL678716 =- PL 6787-2016.pdf,Major Olimpio,Ricardo de Saboya Rocha Miranda,,D:20170317124659-07'00',D:20170317124659-07'00'
EMC 379-2017 PL678716 =- PL 6787-2016.pdf,Major Olimpio,Ricardo de Saboya Rocha Miranda,,D:20170317124707-07'00',D:20170317124707-07'00'
EMC 380-2017 PL678716 =- PL 6787-2016.pdf,Major Olimpio,Ricardo de Saboya Rocha Miranda,,D:20170317124715-07'00',D:20170317124715-07'00'
EMC 381-2017 PL678716 =- PL 6787-2016.pdf,Major Olimpio,Ricardo de Saboya Rocha Miranda,,D:20170317124543-07'00',D:20170317124543-07'00'
EMC 382-2017 PL678716 =- PL 6787-2016.pdf,Major Olimpio,Edmara Claudino | NTC,,D:20170317124552-07'00',D:20170317124552-07'00'
EMC 383-2017 PL678716 =- PL 6787-2016.pdf,André Figueiredo,Prodasen,,D:20170320054905-07'00',D:20170320054905-07'00'
EMC 384-2017 PL678716 =- PL 6787-2016.pdf,André Figueiredo,Prodasen,,D:20170320055545-07'00',D:20170320055545-07'00'
EMC 385-2017 PL678716 =- PL 6787-2016.pdf,André Figueiredo,Prodasen,,D:20170320055553-07'00',D:20170320055553-07'00'
EMC 386-2017 PL678716 =- PL 6787-2016.pdf,Alberto Fraga,Silvia Seabra de Carvalho,,D:20170320072514-07'00',D:20170320072514-07'00'
EMC 387-2017 PL678716 =- PL 6787-2016.pdf,Gorete Pereira,TST,,D:20170320123806-07'00',D:20170320123806-07'00'
EMC 388-2017 PL678716 =- PL 6787-2016.pdf,Paulo Teixeira,Lisiane de Alcantara Bastos,EMD ADI - Emenda Aditiva,D:20170321064459-07'00',D:20170321064459-07'00'
EMC 389-2017 PL678716 =- PL 6787-2016.pdf,João Gualberto,P_111067,,D:20170321110713-07'00',D:20170321110713-07'00'
EMC 390-2017 PL678716 =- PL 6787-2016.pdf,João Gualberto,P_111067,,D:20170321110722-07'00',D:20170321110722-07'00'
EMC 391-2017 PL678716 =- PL 6787-2016.pdf,João Gualberto,P_111067,,D:20170321110732-07'00',D:20170321110732-07'00'
EMC 392-2017 PL678716 =- PL 6787-2016.pdf,João Gualberto,P_111067,,D:20170321110740-07'00',D:20170321110740-07'00'
EMC 393-2017 PL678716 =- PL 6787-2016.pdf,João Gualberto,P_111067,,D:20170321110540-07'00',D:20170321110540-07'00'
EMC 394-2017 PL678716 =- PL 6787-2016.pdf,João Gualberto,P_111067,,D:20170321110549-07'00',D:20170321110549-07'00'
EMC 395-2017 PL678716 =- PL 6787-2016.pdf,João Gualberto,P_111067,,D:20170321110558-07'00',D:20170321110558-07'00'
EMC 396-2017 PL678716 =- PL 6787-2016.pdf,João Gualberto,P_111067,,D:20170321110607-07'00',D:20170321110607-07'00'
EMC 397-2017 PL678716 =- PL 6787-2016.pdf,João Gualberto,P_111067,,D:20170321110615-07'00',D:20170321110615-07'00'
EMC 398-2017 PL678716 =- PL 6787-2016.pdf,João Gualberto,P_111067,,D:20170321110624-07'00',D:20170321110624-07'00'
EMC 399-2017 PL678716 =- PL 6787-2016.pdf,João Gualberto,P_111067,,D:20170321110633-07'00',D:20170321110633-07'00'
EMC 400-2017 PL678716 =- PL 6787-2016.pdf,João Gualberto,P_111067,,D:20170321110651-07'00',D:20170321110651-07'00'
EMC 401-2017 PL678716 =- PL 6787-2016.pdf,Celso Maldaner,MOD.CONLE.ST 2231/2017 - P_5675 - Beatriz Rezende Marques Costa,EMD ADI - Emenda Aditiva,D:20170321110659-07'00',D:20170321110659-07'00'
EMC 402-2017 PL678716 =- PL 6787-2016.pdf,Celso Maldaner,Simone Gonçalves Da Silva,,D:20170321110642-07'00',D:20170321110642-07'00'
EMC 403-2017 PL678716 =- PL 6787-2016.pdf,Celso Maldaner,Simone Gonçalves Da Silva,,D:20170321110708-07'00',D:20170321110708-07'00'
EMC 404-2017 PL678716 =- PL 6787-2016.pdf,Celso Maldaner,Simone Gonçalves Da Silva,,D:20170321110717-07'00',D:20170321110717-07'00'
EMC 405-2017 PL678716 =- PL 6787-2016.pdf,Gorete Pereira,TST,,D:20170321122953-07'00',D:20170321122953-07'00'
EMC 406-2017 PL678716 =- PL 6787-2016.pdf,Gorete Pereira,TST,,D:20170321123001-07'00',D:20170321123001-07'00'
EMC 407-2017 PL678716 =- PL 6787-2016.pdf,Darcísio Perondi,Flavia Lopes,,D:20170321133617-07'00',D:20170321133617-07'00'
EMC 408-2017 PL678716 =- PL 6787-2016.pdf,Valdir Colatto,Lucia Pedroso de Moraes,,D:20170321133626-07'00',D:20170321133626-07'00'
EMC 409-2017 PL678716 =- PL 6787-2016.pdf,Valdir Colatto,admin,,D:20170321133635-07'00',D:20170321133635-07'00'
EMC 410-2017 PL678716 =- PL 6787-2016.pdf,Valdir Colatto,admin,,D:20170321133644-07'00',D:20170321133644-07'00'
EMC 411-2017 PL678716 =- PL 6787-2016.pdf,Valdir Colatto,admin,,D:20170321133538-07'00',D:20170321133538-07'00'
EMC 412-2017 PL678716 =- PL 6787-2016.pdf,Valdir Colatto,admin,,D:20170321133547-07'00',D:20170321133547-07'00'
EMC 413-2017 PL678716 =- PL 6787-2016.pdf,Valdir Colatto,Patricia Alves Cabral,,D:20170321133556-07'00',D:20170321133556-07'00'
EMC 414-2017 PL678716 =- PL 6787-2016.pdf,Valdir Colatto,admin,,D:20170321133604-07'00',D:20170321133604-07'00'
EMC 415-2017 PL678716 =- PL 6787-2016.pdf,Valdir Colatto,admin,,D:20170321133613-07'00',D:20170321133613-07'00'
EMC 416-2017 PL678716 =- PL 6787-2016.pdf,Valdir Colatto,Ricardo de Saboya Rocha Miranda,,D:20170321133622-07'00',D:20170321133622-07'00'
EMC 417-2017 PL678716 =- PL 6787-2016.pdf,Valdir Colatto,Ricardo de Saboya Rocha Miranda,,D:20170321133630-07'00',D:20170321133630-07'00'
EMC 418-2017 PL678716 =- PL 6787-2016.pdf,Valdir Colatto,Ricardo de Saboya Rocha Miranda,,D:20170321133639-07'00',D:20170321133639-07'00'
EMC 419-2017 PL678716 =- PL 6787-2016.pdf,Valdir Colatto,Lucia Pedroso de Moraes,,D:20170321133648-07'00',D:20170321133648-07'00'
EMC 420-2017 PL678716 =- PL 6787-2016.pdf,Valdir Colatto,Lucia Pedroso de Moraes,,D:20170321133656-07'00',D:20170321133656-07'00'
EMC 421-2017 PL678716 =- PL 6787-2016.pdf,Augusto Coutinho,Cleiton Paiva Cabral Reges,,D:20170321133705-07'00',D:20170321133705-07'00'
EMC 422-2017 PL678716 =- PL 6787-2016.pdf,Ricardo Izar,Iraciara Souza,,D:20170321133923-07'00',D:20170321133923-07'00'
EMC 423-2017 PL678716 =- PL 6787-2016.pdf,Chico Alencar,Liderança do PCdoB,,D:20170321140233-07'00',D:20170321140233-07'00'
EMC 424-2017 PL678716 =- PL 6787-2016.pdf,Chico Alencar,Liderança do PCdoB,,D:20170321140241-07'00',D:20170321140241-07'00'
EMC 425-2017 PL678716 =- PL 6787-2016.pdf,Chico Alencar,Liderança do PCdoB,,D:20170321141534-07'00',D:20170321141534-07'00'
EMC 426-2017 PL678716 =- PL 6787-2016.pdf,Fernando Monteiro,Flávia Mundim Moraes Oliveira,,D:20170321140640-07'00',D:20170321140640-07'00'
EMC 427-2017 PL678716 =- PL 6787-2016.pdf,Diego Garcia,Ivanete de Araujo Costa,EMD ADI - Emenda Aditiva,D:20170321152539-07'00',D:20170321152539-07'00'
EMC 428-2017 PL678716 =- PL 6787-2016.pdf,Diego Garcia,Flavia Lopes,,D:20170321153429-07'00',D:20170321153429-07'00'
EMC 429-2017 PL678716 =- PL 6787-2016.pdf,Vitor Lippi,P_111067,,D:20170321152650-07'00',D:20170321152650-07'00'
EMC 430-2017 PL678716 =- PL 6787-2016.pdf,Vitor Lippi,P_111067,,D:20170321152659-07'00',D:20170321152659-07'00'
EMC 431-2017 PL678716 =- PL 6787-2016.pdf,Vitor Lippi,P_111067,,D:20170321152708-07'00',D:20170321152708-07'00'
EMC 432-2017 PL678716 =- PL 6787-2016.pdf,Vitor Lippi,P_111067,,D:20170321152756-07'00',D:20170321152756-07'00'
EMC 433-2017 PL678716 =- PL 6787-2016.pdf,Vitor Lippi,P_111067,,D:20170321152805-07'00',D:20170321152805-07'00'
EMC 434-2017 PL678716 =- PL 6787-2016.pdf,Vitor Lippi,P_111067,,D:20170321152814-07'00',D:20170321152814-07'00'
EMC 435-2017 PL678716 =- PL 6787-2016.pdf,Vitor Lippi,P_111067,,D:20170321152903-07'00',D:20170321152903-07'00'
EMC 436-2017 PL678716 =- PL 6787-2016.pdf,Vitor Lippi,P_111067,,D:20170321152912-07'00',D:20170321152912-07'00'
EMC 437-2017 PL678716 =- PL 6787-2016.pdf,Vitor Lippi,P_111067,,D:20170321153438-07'00',D:20170321153438-07'00'
EMC 438-2017 PL678716 =- PL 6787-2016.pdf,Vitor Lippi,P_111067,,D:20170321153446-07'00',D:20170321153446-07'00'
EMC 439-2017 PL678716 =- PL 6787-2016.pdf,Vitor Lippi,P_111067,,D:20170321153455-07'00',D:20170321153455-07'00'
EMC 440-2017 PL678716 =- PL 6787-2016.pdf,Vitor Lippi,P_111067,,D:20170321153503-07'00',D:20170321153503-07'00'
EMC 441-2017 PL678716 =- PL 6787-2016.pdf,Vitor Lippi,MOD.CONLE.ST 2832/2017 - P_5658 - Maria Auxiliadora da Silva,EMD ADI - Emenda Aditiva,D:20170321153511-07'00',D:20170321153511-07'00'
EMC 442-2017 PL678716 =- PL 6787-2016.pdf,Vitor Lippi,MOD.CONLE.ST 2832/2017 - P_5658 - Maria Auxiliadora da Silva,EMD ADI - Emenda Aditiva,D:20170321153528-07'00',D:20170321153528-07'00'
EMC 443-2017 PL678716 =- PL 6787-2016.pdf,Vitor Lippi,P_111067,,D:20170321153545-07'00',D:20170321153545-07'00'
EMC 444-2017 PL678716 =- PL 6787-2016.pdf,Vitor Lippi,P_111067,,D:20170321153554-07'00',D:20170321153554-07'00'
EMC 445-2017 PL678716 =- PL 6787-2016.pdf,Vitor Lippi,P_111067,,D:20170321153602-07'00',D:20170321153602-07'00'
EMC 446-2017 PL678716 =- PL 6787-2016.pdf,Gorete Pereira,TST,,D:20170321153611-07'00',D:20170321153611-07'00'
EMC 447-2017 PL678716 =- PL 6787-2016.pdf,Gorete Pereira,TST,,D:20170321153619-07'00',D:20170321153619-07'00'
EMC 448-2017 PL678716 =- PL 6787-2016.pdf,Renzo Braz,Ricardo de Saboya Rocha Miranda,,D:20170321155608-07'00',D:20170321155608-07'00'
EMC 449-2017 PL678716 =- PL 6787-2016.pdf,Renzo Braz,Ricardo de Saboya Rocha Miranda,,D:20170321155617-07'00',D:20170321155617-07'00'
EMC 450-2017 PL678716 =- PL 6787-2016.pdf,Renzo Braz,Ricardo de Saboya Rocha Miranda,,D:20170321155625-07'00',D:20170321155625-07'00'
EMC 451-2017 PL678716 =- PL 6787-2016.pdf,Renzo Braz,Ricardo de Saboya Rocha Miranda,,D:20170321155730-07'00',D:20170321155730-07'00'
EMC 452-2017 PL678716 =- PL 6787-2016.pdf,Renzo Braz,Ricardo de Saboya Rocha Miranda,,D:20170321155838-07'00',D:20170321155838-07'00'
EMC 453-2017 PL678716 =- PL 6787-2016.pdf,Renzo Braz,Ricardo de Saboya Rocha Miranda,,D:20170321155846-07'00',D:20170321155846-07'00'
EMC 454-2017 PL678716 =- PL 6787-2016.pdf,Renzo Braz,Ricardo de Saboya Rocha Miranda,,D:20170321160242-07'00',D:20170321160242-07'00'
EMC 455-2017 PL678716 =- PL 6787-2016.pdf,Renzo Braz,Ricardo de Saboya Rocha Miranda,,D:20170321160251-07'00',D:20170321160251-07'00'
EMC 456-2017 PL678716 =- PL 6787-2016.pdf,Renzo Braz,Ricardo de Saboya Rocha Miranda,,D:20170321160259-07'00',D:20170321160259-07'00'
EMC 457-2017 PL678716 =- PL 6787-2016.pdf,Renzo Braz,Ricardo de Saboya Rocha Miranda,,D:20170321160307-07'00',D:20170321160307-07'00'
EMC 458-2017 PL678716 =- PL 6787-2016.pdf,Renzo Braz,Ricardo de Saboya Rocha Miranda,,D:20170321160315-07'00',D:20170321160315-07'00'
EMC 459-2017 PL678716 =- PL 6787-2016.pdf,Renzo Braz,Ricardo de Saboya Rocha Miranda,,D:20170321160324-07'00',D:20170321160324-07'00'
EMC 460-2017 PL678716 =- PL 6787-2016.pdf,Renzo Braz,Ricardo de Saboya Rocha Miranda,,D:20170321160609-07'00',D:20170321160609-07'00'
EMC 461-2017 PL678716 =- PL 6787-2016.pdf,Renzo Braz,Ricardo de Saboya Rocha Miranda,,D:20170321160618-07'00',D:20170321160618-07'00'
EMC 462-2017 PL678716 =- PL 6787-2016.pdf,Renzo Braz,Ricardo de Saboya Rocha Miranda,,D:20170321160626-07'00',D:20170321160626-07'00'
EMC 463-2017 PL678716 =- PL 6787-2016.pdf,Renzo Braz,Ricardo de Saboya Rocha Miranda,,D:20170321160634-07'00',D:20170321160634-07'00'
EMC 464-2017 PL678716 =- PL 6787-2016.pdf,Renzo Braz,Ricardo de Saboya Rocha Miranda,,D:20170321160643-07'00',D:20170321160643-07'00'
EMC 465-2017 PL678716 =- PL 6787-2016.pdf,Renzo Braz,Ricardo de Saboya Rocha Miranda,,D:20170321160651-07'00',D:20170321160651-07'00'
EMC 466-2017 PL678716 =- PL 6787-2016.pdf,Renzo Braz,Ricardo de Saboya Rocha Miranda,,D:20170321161514-07'00',D:20170321161514-07'00'
EMC 467-2017 PL678716 =- PL 6787-2016.pdf,Nelson Marquezelli,Rafael da Silva Pinto,,D:20170321160832-07'00',D:20170321160832-07'00'
EMC 468-2017 PL678716 =- PL 6787-2016.pdf,Nelson Marquezelli,Ana Caroline Aciole Brito,,D:20170321161531-07'00',D:20170321161531-07'00'
EMC 469-2017 PL678716 =- PL 6787-2016.pdf,Nelson Marquezelli,Ana Caroline Aciole Brito,,D:20170321161547-07'00',D:20170321161547-07'00'
EMC 470-2017 PL678716 =- PL 6787-2016.pdf,Nelson Marquezelli,Ana Caroline Aciole Brito,,D:20170321161719-07'00',D:20170321161719-07'00'
EMC 471-2017 PL678716 =- PL 6787-2016.pdf,Nelson Marquezelli,Ana Caroline Aciole Brito,,D:20170321161820-07'00',D:20170321161820-07'00'
EMC 472-2017 PL678716 =- PL 6787-2016.pdf,Nelson Marquezelli,Ana Caroline Aciole Brito,,D:20170321161929-07'00',D:20170321161929-07'00'
EMC 473-2017 PL678716 =- PL 6787-2016.pdf,Nelson Marquezelli,Ana Caroline Aciole Brito,,D:20170321162331-07'00',D:20170321162331-07'00'
EMC 474-2017 PL678716 =- PL 6787-2016.pdf,Nelson Marquezelli,Marijara Brisa Gomes Guimarães,,D:20170321162340-07'00',D:20170321162340-07'00'
EMC 475-2017 PL678716 =- PL 6787-2016.pdf,Nelson Marquezelli,Ana Caroline Aciole Brito,,D:20170321162527-07'00',D:20170321162527-07'00'
EMC 476-2017 PL678716 =- PL 6787-2016.pdf,Nelson Marquezelli,Ana Caroline Aciole Brito,,D:20170321162535-07'00',D:20170321162535-07'00'
EMC 477-2017 PL678716 =- PL 6787-2016.pdf,Nelson Marquezelli,Marijara Brisa Gomes Guimarães,,D:20170321162559-07'00',D:20170321162559-07'00'
EMC 478-2017 PL678716 =- PL 6787-2016.pdf,Nelson Marquezelli,,,D:20170321162708-07'00',D:20170321162708-07'00'
EMC 479-2017 PL678716 =- PL 6787-2016.pdf,Tereza Cristina,Nathalie Roberta Ferreira De Mendonça Vieira,,D:20170322054222-07'00',D:20170322054222-07'00'
EMC 480-2017 PL678716 =- PL 6787-2016.pdf,Danilo Cabral,Nathalie Roberta Ferreira De Mendonça Vieira,,D:20170322054230-07'00',D:20170322054230-07'00'
EMC 481-2017 PL678716 =- PL 6787-2016.pdf,Danilo Cabral,Ivanete de Araujo Costa,EMD ADI - Emenda Aditiva,D:20170322054238-07'00',D:20170322054238-07'00'
EMC 482-2017 PL678716 =- PL 6787-2016.pdf,Tereza Cristina,Nathalie Roberta Ferreira De Mendonça Vieira,,D:20170322054247-07'00',D:20170322054247-07'00'
EMC 483-2017 PL678716 =- PL 6787-2016.pdf,Daniel Vilela,Arhur,,D:20170322054516-07'00',D:20170322054516-07'00'
EMC 484-2017 PL678716 =- PL 6787-2016.pdf,Daniel Vilela,MOD.CONLE.ST 2613/2017 - P_5771 - Lisiane de Alcantara Bastos,EMD ADI - Emenda Aditiva,D:20170322054525-07'00',D:20170322054525-07'00'
EMC 485-2017 PL678716 =- PL 6787-2016.pdf,Daniel Vilela,,,D:20170322054533-07'00',D:20170322054533-07'00'
EMC 486-2017 PL678716 =- PL 6787-2016.pdf,Daniel Vilela,MSBL,obrigatoriedade de refrigeração em veículos de transporte de passageiros,D:20170322054541-07'00',D:20170322054541-07'00'
EMC 487-2017 PL678716 =- PL 6787-2016.pdf,Daniel Vilela,MOD.CONLE.ST 2613/2017 - P_5771 - Lisiane de Alcantara Bastos,EMD ADI - Emenda Aditiva,D:20170322054550-07'00',D:20170322054550-07'00'
EMC 488-2017 PL678716 =- PL 6787-2016.pdf,Daniel Vilela,,,D:20170322054558-07'00',D:20170322054558-07'00'
EMC 489-2017 PL678716 =- PL 6787-2016.pdf,Daniel Vilela,Arhur,,D:20170322054606-07'00',D:20170322054606-07'00'
EMC 490-2017 PL678716 =- PL 6787-2016.pdf,Daniel Vilela,Arhur,,D:20170322054615-07'00',D:20170322054615-07'00'
EMC 491-2017 PL678716 =- PL 6787-2016.pdf,Jerônimo Goergen,Dep. Jeronimo Goergen,,D:20170322063901-07'00',D:20170322063901-07'00'
EMC 492-2017 PL678716 =- PL 6787-2016.pdf,Jerônimo Goergen,Dep. Jeronimo Goergen,,D:20170322063541-07'00',D:20170322063541-07'00'
EMC 493-2017 PL678716 =- PL 6787-2016.pdf,Jerônimo Goergen,Dep. Jeronimo Goergen,,D:20170322063549-07'00',D:20170322063549-07'00'
EMC 494-2017 PL678716 =- PL 6787-2016.pdf,Jerônimo Goergen,Dep. Jeronimo Goergen,,D:20170322063558-07'00',D:20170322063558-07'00'
EMC 495-2017 PL678716 =- PL 6787-2016.pdf,Jerônimo Goergen,Dep. Jeronimo Goergen,,D:20170322063607-07'00',D:20170322063607-07'00'
EMC 496-2017 PL678716 =- PL 6787-2016.pdf,Jerônimo Goergen,Dep. Jeronimo Goergen,,D:20170322063615-07'00',D:20170322063615-07'00'
EMC 497-2017 PL678716 =- PL 6787-2016.pdf,Jerônimo Goergen,Dep. Jeronimo Goergen,,D:20170322063624-07'00',D:20170322063624-07'00'
EMC 498-2017 PL678716 =- PL 6787-2016.pdf,Jerônimo Goergen,Dep. Jeronimo Goergen,,D:20170322063632-07'00',D:20170322063632-07'00'
EMC 499-2017 PL678716 =- PL 6787-2016.pdf,Jerônimo Goergen,Dep. Jeronimo Goergen,,D:20170322063641-07'00',D:20170322063641-07'00'
EMC 500-2017 PL678716 =- PL 6787-2016.pdf,Jerônimo Goergen,Dep. Jeronimo Goergen,,D:20170322063650-07'00',D:20170322063650-07'00'
EMC 501-2017 PL678716 =- PL 6787-2016.pdf,Jerônimo Goergen,Dep. Jeronimo Goergen,,D:20170322063658-07'00',D:20170322063658-07'00'
EMC 502-2017 PL678716 =- PL 6787-2016.pdf,Jerônimo Goergen,Dep. Jeronimo Goergen,,D:20170322063707-07'00',D:20170322063707-07'00'
EMC 503-2017 PL678716 =- PL 6787-2016.pdf,Jerônimo Goergen,Dep. Jeronimo Goergen,,D:20170322063716-07'00',D:20170322063716-07'00'
EMC 504-2017 PL678716 =- PL 6787-2016.pdf,Jerônimo Goergen,Dep. Jeronimo Goergen,,D:20170322063733-07'00',D:20170322063733-07'00'
EMC 505-2017 PL678716 =- PL 6787-2016.pdf,Jerônimo Goergen,Dep. Jeronimo Goergen,,D:20170322063742-07'00',D:20170322063742-07'00'
EMC 506-2017 PL678716 =- PL 6787-2016.pdf,Jerônimo Goergen,Dep. Jeronimo Goergen,,D:20170322063750-07'00',D:20170322063750-07'00'
EMC 507-2017 PL678716 =- PL 6787-2016.pdf,Jerônimo Goergen,Dep. Jeronimo Goergen,,D:20170322063838-07'00',D:20170322063838-07'00'
EMC 508-2017 PL678716 =- PL 6787-2016.pdf,Jerônimo Goergen,Dep. Jeronimo Goergen,,D:20170322063848-07'00',D:20170322063848-07'00'
EMC 509-2017 PL678716 =- PL 6787-2016.pdf,Jerônimo Goergen,Dep. Jeronimo Goergen,,D:20170322063857-07'00',D:20170322063857-07'00'
EMC 510-2017 PL678716 =- PL 6787-2016.pdf,Jerônimo Goergen,Dep. Jeronimo Goergen,,D:20170322063943-07'00',D:20170322063943-07'00'
EMC 511-2017 PL678716 =- PL 6787-2016.pdf,Jerônimo Goergen,Dep. Jeronimo Goergen,,D:20170322063952-07'00',D:20170322063952-07'00'
EMC 512-2017 PL678716 =- PL 6787-2016.pdf,Jerônimo Goergen,Dep. Jeronimo Goergen,,D:20170322064001-07'00',D:20170322064001-07'00'
EMC 513-2017 PL678716 =- PL 6787-2016.pdf,Jerônimo Goergen,Dep. Jeronimo Goergen,,D:20170322064009-07'00',D:20170322064009-07'00'
