Arquivo,Deputado,Autor,Assunto,Data_Criacao,Data_Moficacao
EMC 43-2017 PL678716 =- PL 6787-2016.pdf,Gorete Pereira,wlamir,,D:20170314114851-07'00',D:20170314114851-07'00'
EMC 44-2017 PL678716 =- PL 6787-2016.pdf,Gorete Pereira,wlamir,,D:20170314114858-07'00',D:20170314114858-07'00'
EMC 45-2017 PL678716 =- PL 6787-2016.pdf,Gorete Pereira,wlamir,,D:20170314114906-07'00',D:20170314114906-07'00'
EMC 46-2017 PL678716 =- PL 6787-2016.pdf,Gorete Pereira,wlamir,,D:20170314114914-07'00',D:20170314114914-07'00'
EMC 47-2017 PL678716 =- PL 6787-2016.pdf,Gorete Pereira,wlamir,,D:20170314114922-07'00',D:20170314114922-07'00'
EMC 48-2017 PL678716 =- PL 6787-2016.pdf,Glauber Braga,Bruno Ávila e Silva Sampaio de Almeida,,D:20170322074525-07'00',D:20170322074525-07'00'
EMC 49-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Amanda Galvão Ferreira Tabosa,,D:20170314113758-07'00',D:20170314113758-07'00'
EMC 50-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Amanda Galvão Ferreira Tabosa,,D:20170314113806-07'00',D:20170314113806-07'00'
EMC 51-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Amanda Galvão Ferreira Tabosa,,D:20170314113813-07'00',D:20170314113813-07'00'
EMC 52-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Amanda Galvão Ferreira Tabosa,,D:20170314113821-07'00',D:20170314113821-07'00'
EMC 53-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Amanda Galvão Ferreira Tabosa,,D:20170314113829-07'00',D:20170314113829-07'00'
EMC 54-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Amanda Galvão Ferreira Tabosa,,D:20170314113837-07'00',D:20170314113837-07'00'
EMC 55-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Amanda Galvão Ferreira Tabosa,,D:20170314113845-07'00',D:20170314113845-07'00'
EMC 56-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Amanda Galvão Ferreira Tabosa,,D:20170314113853-07'00',D:20170314113853-07'00'
EMC 57-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Amanda Galvão Ferreira Tabosa,,D:20170314113901-07'00',D:20170314113901-07'00'
EMC 58-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Amanda Galvão Ferreira Tabosa,,D:20170314113909-07'00',D:20170314113909-07'00'
EMC 59-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Amanda Galvão Ferreira Tabosa,,D:20170314112511-07'00',D:20170314112511-07'00'
EMC 60-2017 PL678716 =- PL 6787-2016.pdf,André Figueiredo,Prodasen,,D:20170314112148-07'00',D:20170314112148-07'00'
EMC 61-2017 PL678716 =- PL 6787-2016.pdf,André Figueiredo,Prodasen,,D:20170314112157-07'00',D:20170314112157-07'00'
EMC 62-2017 PL678716 =- PL 6787-2016.pdf,André Figueiredo,Prodasen,,D:20170314112206-07'00',D:20170314112206-07'00'
EMC 63-2017 PL678716 =- PL 6787-2016.pdf,André Figueiredo,Prodasen,,D:20170314112223-07'00',D:20170314112223-07'00'
EMC 64-2017 PL678716 =- PL 6787-2016.pdf,Mauro Pereira,ABIMAQ - DIR - Hiroyuki Sato,,D:20170314112358-07'00',D:20170314112358-07'00'
EMC 65-2017 PL678716 =- PL 6787-2016.pdf,Celso Maldaner,MOD.CONLE.ST 2253/2017 - P_6701 - Ângelo Azevedo Queiroz,EMD ADI - Emenda Aditiva,D:20170315072349-07'00',D:20170315072349-07'00'
EMC 66-2017 PL678716 =- PL 6787-2016.pdf,Celso Maldaner,P_4189,,D:20170315072357-07'00',D:20170315072357-07'00'
EMC 67-2017 PL678716 =- PL 6787-2016.pdf,Celso Maldaner,Ivanete de Araujo Costa,EMD ADI - Emenda Aditiva,D:20170315072406-07'00',D:20170315072406-07'00'
EMC 68-2017 PL678716 =- PL 6787-2016.pdf,Celso Maldaner,MOD.CONLE.ST 2256/2017 - P_5040 - Adolfo Costa Araujo Rocha Furtado,EMD ADI - Emenda Aditiva,D:20170315073403-07'00',D:20170315073403-07'00'
EMC 69-2017 PL678716 =- PL 6787-2016.pdf,Celso Maldaner,MOD.CONLE.ST 2125/2017 - P_5658 - Maria Auxiliadora da Silva,EMD ADI - Emenda Aditiva,D:20170315073412-07'00',D:20170315073412-07'00'
EMC 70-2017 PL678716 =- PL 6787-2016.pdf,Celso Maldaner,MOD.CONLE.ST 2258/2017 - P_5771 - Lisiane de Alcantara Bastos,EMD ADI - Emenda Aditiva,D:20170315073425-07'00',D:20170315073425-07'00'
EMC 71-2017 PL678716 =- PL 6787-2016.pdf,Celso Maldaner,Ivanete de Araujo Costa,EMD ADI - Emenda Aditiva,D:20170315073447-07'00',D:20170315073447-07'00'
EMC 72-2017 PL678716 =- PL 6787-2016.pdf,Celso Maldaner,MOD.CONLE.ST 2261/2017 - P_6701 - Ângelo Azevedo Queiroz,EMD ADI - Emenda Aditiva,D:20170315073456-07'00',D:20170315073456-07'00'
EMC 73-2017 PL678716 =- PL 6787-2016.pdf,Celso Maldaner,MOD.CONLE.ST 2262/2017 - P_5040 - Adolfo Costa Araujo Rocha Furtado,EMD ADI - Emenda Aditiva,D:20170315073504-07'00',D:20170315073504-07'00'
EMC 74-2017 PL678716 =- PL 6787-2016.pdf,Celso Maldaner,Ivanete de Araujo Costa,EMD ADI - Emenda Aditiva,D:20170315073513-07'00',D:20170315073513-07'00'
EMC 75-2017 PL678716 =- PL 6787-2016.pdf,Celso Maldaner,MOD.CONLE.ST 2264/2017 - P_5771 - Lisiane de Alcantara Bastos,EMD ADI - Emenda Aditiva,D:20170315073522-07'00',D:20170315073522-07'00'
EMC 76-2017 PL678716 =- PL 6787-2016.pdf,Celso Maldaner,MOD.CONLE.ST 2265/2017 - P_6736 - Davi Ribeiro de Oliveira Júnior,EMD ADI - Emenda Aditiva,D:20170315073526-07'00',D:20170315073526-07'00'
EMC 77-2017 PL678716 =- PL 6787-2016.pdf,Celso Maldaner,Ivanete de Araujo Costa,EMD ADI - Emenda Aditiva,D:20170315073547-07'00',D:20170315073547-07'00'
EMC 78-2017 PL678716 =- PL 6787-2016.pdf,Celso Maldaner,MOD.CONLE.ST 2272/2017 - P_6736 - Davi Ribeiro de Oliveira Júnior,EMD ADI - Emenda Aditiva,D:20170315073556-07'00',D:20170315073556-07'00'
EMC 79-2017 PL678716 =- PL 6787-2016.pdf,Celso Maldaner,Ivanete de Araujo Costa,EMD ADI - Emenda Aditiva,D:20170315073605-07'00',D:20170315073605-07'00'
EMC 80-2017 PL678716 =- PL 6787-2016.pdf,Celso Maldaner,MOD.CONLE.ST 2271/2017 - P_5771 - Lisiane de Alcantara Bastos,EMD ADI - Emenda Aditiva,D:20170315073613-07'00',D:20170315073613-07'00'
EMC 81-2017 PL678716 =- PL 6787-2016.pdf,Celso Maldaner,Ivanete de Araujo Costa,EMD ADI - Emenda Aditiva,D:20170315073622-07'00',D:20170315073622-07'00'
EMC 82-2017 PL678716 =- PL 6787-2016.pdf,Celso Maldaner,MOD.CONLE.ST 2274/2017 - P_6701 - Ângelo Azevedo Queiroz,EMD ADI - Emenda Aditiva,D:20170315073626-07'00',D:20170315073626-07'00'
EMC 83-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Amanda Galvão Ferreira Tabosa,,D:20170315073635-07'00',D:20170315073635-07'00'
EMC 84-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Filipe Baumgratz,,D:20170315073648-07'00',D:20170315073648-07'00'
EMC 85-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Ricardo,,D:20170315073657-07'00',D:20170315073657-07'00'
EMC 86-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Ricardo,,D:20170315073705-07'00',D:20170315073705-07'00'
EMC 87-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Ricardo,,D:20170315073714-07'00',D:20170315073714-07'00'
EMC 88-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Ricardo,,D:20170315073723-07'00',D:20170315073723-07'00'
EMC 89-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Ricardo,,D:20170315073731-07'00',D:20170315073731-07'00'
EMC 90-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Ricardo,,D:20170315073736-07'00',D:20170315073736-07'00'
EMC 91-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Ricardo,,D:20170315073758-07'00',D:20170315073758-07'00'
EMC 92-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Ricardo,,D:20170315073806-07'00',D:20170315073806-07'00'
EMC 93-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Ricardo,,D:20170315073815-07'00',D:20170315073815-07'00'
EMC 94-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Ricardo,,D:20170315073824-07'00',D:20170315073824-07'00'
EMC 95-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Ricardo,,D:20170315073832-07'00',D:20170315073832-07'00'
EMC 96-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Ricardo,,D:20170315073841-07'00',D:20170315073841-07'00'
EMC 97-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Ricardo,,D:20170315073837-07'00',D:20170315073837-07'00'
EMC 98-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Ricardo,,D:20170315073858-07'00',D:20170315073858-07'00'
EMC 99-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Ricardo,,D:20170315073907-07'00',D:20170315073907-07'00'
EMC 100-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Ricardo,,D:20170315073916-07'00',D:20170315073916-07'00'
EMC 101-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Ricardo,,D:20170315073924-07'00',D:20170315073924-07'00'
EMC 102-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Ricardo,,D:20170315073933-07'00',D:20170315073933-07'00'
EMC 103-2017 PL678716 =- PL 6787-2016.pdf,Diego Garcia,TST,,D:20170315103540-07'00',D:20170315103540-07'00'
EMC 104-2017 PL678716 =- PL 6787-2016.pdf,Gorete Pereira,Erika Barros,,D:20170315112008-07'00',D:20170315112008-07'00'
EMC 105-2017 PL678716 =- PL 6787-2016.pdf,Gorete Pereira,Erika Barros,,D:20170315111647-07'00',D:20170315111647-07'00'
EMC 106-2017 PL678716 =- PL 6787-2016.pdf,Vanderlei Macris,P_4189,,D:20170315111823-07'00',D:20170315111823-07'00'
EMC 107-2017 PL678716 =- PL 6787-2016.pdf,Vanderlei Macris,P_4189,,D:20170315111832-07'00',D:20170315111832-07'00'
EMC 108-2017 PL678716 =- PL 6787-2016.pdf,Vanderlei Macris,P_4189,,D:20170315111840-07'00',D:20170315111840-07'00'
EMC 109-2017 PL678716 =- PL 6787-2016.pdf,Vanderlei Macris,P_4189,,D:20170315112707-07'00',D:20170315112707-07'00'
EMC 110-2017 PL678716 =- PL 6787-2016.pdf,Vanderlei Macris,P_4189,,D:20170315111946-07'00',D:20170315111946-07'00'
EMC 111-2017 PL678716 =- PL 6787-2016.pdf,Vanderlei Macris,P_4189,,D:20170315111955-07'00',D:20170315111955-07'00'
EMC 112-2017 PL678716 =- PL 6787-2016.pdf,Vanderlei Macris,P_4189,,D:20170315112003-07'00',D:20170315112003-07'00'
EMC 113-2017 PL678716 =- PL 6787-2016.pdf,Vanderlei Macris,P_4189,,D:20170315112012-07'00',D:20170315112012-07'00'
EMC 114-2017 PL678716 =- PL 6787-2016.pdf,Vanderlei Macris,P_4189,,D:20170315112020-07'00',D:20170315112020-07'00'
EMC 115-2017 PL678716 =- PL 6787-2016.pdf,Vanderlei Macris,P_4189,,D:20170315112716-07'00',D:20170315112716-07'00'
EMC 116-2017 PL678716 =- PL 6787-2016.pdf,Vanderlei Macris,Gildete Menezes | NTC,,D:20170315112725-07'00',D:20170315112725-07'00'
EMC 117-2017 PL678716 =- PL 6787-2016.pdf,Vanderlei Macris,P_4189,,D:20170315112733-07'00',D:20170315112733-07'00'
EMC 118-2017 PL678716 =- PL 6787-2016.pdf,Vanderlei Macris,P_4189,,D:20170315112742-07'00',D:20170315112742-07'00'
EMC 119-2017 PL678716 =- PL 6787-2016.pdf,Vanderlei Macris,P_4189,,D:20170315112751-07'00',D:20170315112751-07'00'
EMC 120-2017 PL678716 =- PL 6787-2016.pdf,Vanderlei Macris,P_4189,,D:20170315112759-07'00',D:20170315112759-07'00'
EMC 121-2017 PL678716 =- PL 6787-2016.pdf,Vanderlei Macris,P_4189,,D:20170315112808-07'00',D:20170315112808-07'00'
EMC 122-2017 PL678716 =- PL 6787-2016.pdf,Vanderlei Macris,P_4189,,D:20170315112721-07'00',D:20170315112721-07'00'
EMC 123-2017 PL678716 =- PL 6787-2016.pdf,Vanderlei Macris,P_4189,,D:20170315112729-07'00',D:20170315112729-07'00'
EMC 124-2017 PL678716 =- PL 6787-2016.pdf,Vanderlei Macris,P_4189,,D:20170315112738-07'00',D:20170315112738-07'00'
EMC 125-2017 PL678716 =- PL 6787-2016.pdf,Vanderlei Macris,P_4189,,D:20170315112755-07'00',D:20170315112755-07'00'
EMC 126-2017 PL678716 =- PL 6787-2016.pdf,Vanderlei Macris,Gildete Menezes | NTC,,D:20170315112804-07'00',D:20170315112804-07'00'
EMC 127-2017 PL678716 =- PL 6787-2016.pdf,Vanderlei Macris,P_4189,,D:20170315112812-07'00',D:20170315112812-07'00'
EMC 128-2017 PL678716 =- PL 6787-2016.pdf,Vanderlei Macris,Gildete Menezes | NTC,,D:20170315112820-07'00',D:20170315112820-07'00'
EMC 129-2017 PL678716 =- PL 6787-2016.pdf,Vanderlei Macris,Gildete Menezes | NTC,,D:20170315112837-07'00',D:20170315112837-07'00'
EMC 130-2017 PL678716 =- PL 6787-2016.pdf,Vanderlei Macris,admin,,D:20170315112845-07'00',D:20170315112845-07'00'
EMC 131-2017 PL678716 =- PL 6787-2016.pdf,Vanderlei Macris,admin,,D:20170315112854-07'00',D:20170315112854-07'00'
EMC 132-2017 PL678716 =- PL 6787-2016.pdf,Vanderlei Macris,Andrea Teresa de Oliveira Barbosa,,D:20170315112902-07'00',D:20170315112902-07'00'
EMC 133-2017 PL678716 =- PL 6787-2016.pdf,Celso Maldaner,MOD.CONLE.ST 2268/2017 - P_5040 - Adolfo Costa Araujo Rocha Furtado,EMD ADI - Emenda Aditiva,D:20170315123955-07'00',D:20170315123955-07'00'
EMC 134-2017 PL678716 =- PL 6787-2016.pdf,Celso Maldaner,MOD.CONLE.ST 2250/2017 - P_5771 - Lisiane de Alcantara Bastos,EMD ADI - Emenda Aditiva,D:20170315124004-07'00',D:20170315124004-07'00'
EMC 135-2017 PL678716 =- PL 6787-2016.pdf,Celso Maldaner,Ivanete de Araujo Costa,EMD ADI - Emenda Aditiva,D:20170315124013-07'00',D:20170315124013-07'00'
EMC 136-2017 PL678716 =- PL 6787-2016.pdf,Celso Maldaner,MOD.CONLE.ST 2267/2017 - P_6701 - Ângelo Azevedo Queiroz,EMD ADI - Emenda Aditiva,D:20170315124021-07'00',D:20170315124021-07'00'
EMC 137-2017 PL678716 =- PL 6787-2016.pdf,Celso Maldaner,MOD.CONLE.ST 2231/2017 - P_5675 - Beatriz Rezende Marques Costa,EMD ADI - Emenda Aditiva,D:20170315124757-07'00',D:20170315124757-07'00'
EMC 138-2017 PL678716 =- PL 6787-2016.pdf,Celso Maldaner,Ivanete de Araujo Costa,EMD ADI - Emenda Aditiva,D:20170315124805-07'00',D:20170315124805-07'00'
EMC 139-2017 PL678716 =- PL 6787-2016.pdf,Marco Maia,Gilmar Luiz Pastorio,,D:20170315124830-07'00',D:20170315124830-07'00'
EMC 140-2017 PL678716 =- PL 6787-2016.pdf,Marco Maia,Gilmar Luiz Pastorio,,D:20170315124838-07'00',D:20170315124838-07'00'
EMC 141-2017 PL678716 =- PL 6787-2016.pdf,Marco Maia,Gilmar Luiz Pastorio,,D:20170315124846-07'00',D:20170315124846-07'00'
EMC 142-2017 PL678716 =- PL 6787-2016.pdf,Marco Maia,Gilmar Luiz Pastorio,,D:20170315124855-07'00',D:20170315124855-07'00'
EMC 143-2017 PL678716 =- PL 6787-2016.pdf,Marco Maia,Gilmar Luiz Pastorio,,D:20170315124903-07'00',D:20170315124903-07'00'
EMC 144-2017 PL678716 =- PL 6787-2016.pdf,Daniel Almeida,Osmar de Oliveira Aguiar,,D:20170315125009-07'00',D:20170315125009-07'00'
EMC 145-2017 PL678716 =- PL 6787-2016.pdf,Daniel Almeida,Prodasen,,D:20170315124340-07'00',D:20170315124340-07'00'
EMC 146-2017 PL678716 =- PL 6787-2016.pdf,Daniel Almeida,Osmar de Oliveira Aguiar,,D:20170315124349-07'00',D:20170315124349-07'00'
EMC 147-2017 PL678716 =- PL 6787-2016.pdf,Daniel Almeida,Osmar de Oliveira Aguiar,,D:20170315124406-07'00',D:20170315124406-07'00'
EMC 148-2017 PL678716 =- PL 6787-2016.pdf,Daniel Almeida,Osmar de Oliveira Aguiar,,D:20170315124415-07'00',D:20170315124415-07'00'
EMC 149-2017 PL678716 =- PL 6787-2016.pdf,Daniel Almeida,Prodasen,,D:20170315124423-07'00',D:20170315124423-07'00'
EMC 150-2017 PL678716 =- PL 6787-2016.pdf,Daniel Almeida,Prodasen,,D:20170315124432-07'00',D:20170315124432-07'00'
EMC 151-2017 PL678716 =- PL 6787-2016.pdf,Daniel Almeida,Prodasen,,D:20170315124441-07'00',D:20170315124441-07'00'
EMC 152-2017 PL678716 =- PL 6787-2016.pdf,Daniel Almeida,Prodasen,,D:20170315124449-07'00',D:20170315124449-07'00'
EMC 153-2017 PL678716 =- PL 6787-2016.pdf,Daniel Almeida,Prodasen,,D:20170315124458-07'00',D:20170315124458-07'00'
EMC 154-2017 PL678716 =- PL 6787-2016.pdf,Daniel Almeida,Prodasen,,D:20170315124506-07'00',D:20170315124506-07'00'
EMC 155-2017 PL678716 =- PL 6787-2016.pdf,Daniel Almeida,Prodasen,,D:20170315124515-07'00',D:20170315124515-07'00'
EMC 156-2017 PL678716 =- PL 6787-2016.pdf,Daniel Almeida,Prodasen,,D:20170315124524-07'00',D:20170315124524-07'00'
EMC 157-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,Ivanete de Araujo Costa,EMD ADI - Emenda Aditiva,D:20170315124558-07'00',D:20170315124558-07'00'
EMC 158-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,MOD.CONLE.ST 2125/2017 - P_5658 - Maria Auxiliadora da Silva,EMD ADI - Emenda Aditiva,D:20170315124607-07'00',D:20170315124607-07'00'
EMC 159-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,MOD.CONLE.ST 2107/2017 - P_8057 - Tania Marcia Oliveira de Andrade,EMD ADI - Emenda Aditiva,D:20170315124615-07'00',D:20170315124615-07'00'
EMC 160-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,Ivanete de Araujo Costa,EMD ADI - Emenda Aditiva,D:20170315124624-07'00',D:20170315124624-07'00'
EMC 161-2017 PL678716 =- PL 6787-2016.pdf,Daniel Almeida,Osmar de Oliveira Aguiar,,D:20170315125739-07'00',D:20170315125739-07'00'
EMC 162-2017 PL678716 =- PL 6787-2016.pdf,Evair Vieira de Melo,admin,,D:20170315125747-07'00',D:20170315125747-07'00'
EMC 163-2017 PL678716 =- PL 6787-2016.pdf,Magda Mofatto,P_4189,,D:20170316045851-07'00',D:20170316045851-07'00'
EMC 164-2017 PL678716 =- PL 6787-2016.pdf,Magda Mofatto,P_4189,,D:20170316045908-07'00',D:20170316045908-07'00'
EMC 165-2017 PL678716 =- PL 6787-2016.pdf,Magda Mofatto,P_4189,,D:20170316045916-07'00',D:20170316045916-07'00'
EMC 166-2017 PL678716 =- PL 6787-2016.pdf,Magda Mofatto,P_4189,,D:20170316045924-07'00',D:20170316045924-07'00'
EMC 167-2017 PL678716 =- PL 6787-2016.pdf,Magda Mofatto,P_4189,,D:20170316045932-07'00',D:20170316045932-07'00'
EMC 168-2017 PL678716 =- PL 6787-2016.pdf,Magda Mofatto,P_4189,,D:20170316045940-07'00',D:20170316045940-07'00'
EMC 169-2017 PL678716 =- PL 6787-2016.pdf,Magda Mofatto,P_4189,,D:20170316045949-07'00',D:20170316045949-07'00'
EMC 170-2017 PL678716 =- PL 6787-2016.pdf,Magda Mofatto,P_4189,,D:20170316045957-07'00',D:20170316045957-07'00'
EMC 171-2017 PL678716 =- PL 6787-2016.pdf,Magda Mofatto,P_4189,,D:20170316050005-07'00',D:20170316050005-07'00'
EMC 172-2017 PL678716 =- PL 6787-2016.pdf,Magda Mofatto,P_4189,,D:20170316050014-07'00',D:20170316050014-07'00'
EMC 173-2017 PL678716 =- PL 6787-2016.pdf,Magda Mofatto,P_4189,,D:20170316050022-07'00',D:20170316050022-07'00'
EMC 174-2017 PL678716 =- PL 6787-2016.pdf,Magda Mofatto,P_4189,,D:20170316050030-07'00',D:20170316050030-07'00'
